id,bedrooms,price,reviews_per_month
17069863,1,85.00,1.84
14914525,2,239.00,0.54
8983199,1,35.00,1.15
8517444,1,18.00,0.11
5155124,1,125.00,1.42
6584180,1,30.00,0.18
17758332,0,99.00,
14416041,1,49.00,3.10
12581090,1,30.00,
522563,2,59.00,1.25
13072952,1,35.00,0.19
6453846,1,65.00,
14776965,1,100.00,0.53
588518,1,120.00,0.55
12843812,2,58.00,2.13
16022357,2,134.00,
17988606,1,35.00,
15176888,1,30.00,2.62
7994589,3,70.00,1.05
8551870,2,70.00,2.05
1408400,1,74.00,3.59
7962077,1,69.00,1.39
18087550,1,32.00,
9764502,1,45.00,0.07
196197,1,65.00,1.86
12123806,3,99.00,6.22
15466444,1,25.00,0.17
14712529,2,85.00,4.38
14778088,1,80.00,0.60
16940671,2,110.00,
17825390,1,65.00,
17366325,1,40.00,
17366303,1,44.00,1
11435882,2,100.00,1.62
16907395,2,125.00,3.27
7694865,1,65.00,0.15
14482236,1,51.00,2.39
8753004,1,20.00,0.11
11078225,1,45.00,4.02
7334350,1,38.00,1.61
13653071,1,35.00,0.63
13728021,0,42.00,2.01
3340254,1,39.00,1.28
14597900,3,115.00,0.73
15660940,2,90.00,3.44
2750292,1,58.00,2.26
16643784,2,125.00,3.90
6944448,2,139.00,0.48
10188918,2,97.00,0.26
8550478,2,90.00,3.97
8912472,1,60.00,1.51
18052620,2,125.00,
4748729,1,60.00,2.10
5302840,1,25.00,1.20
1275247,1,50.00,1.42
9114411,2,72.00,3.10
3011232,1,17.00,0.77
6633956,1,46.00,0.53
17003123,3,85.00,4.29
17855496,1,33.00,
16175953,1,21.00,
14807932,1,45.00,4.45
16151433,1,55.00,3.03
13594882,1,50.00,6.53
3729439,1,59.00,1.57
17985694,1,85.00,
618576,0,65.00,2.09
13890867,1,47.00,1
3081217,1,35.00,0.06
11300919,1,69.00,1.23
16342590,1,64.00,3.71
7236985,1,18.00,0.88
2518034,1,50.00,4.49
12839997,2,126.00,3.48
2156343,1,85.00,0.08
59923,1,35.00,0.10
17951202,1,42.00,
16763975,1,40.00,1.95
12249897,2,88.00,2.59
2991910,2,90.00,1.07
16474980,0,59.00,7.59
17164342,1,78.00,2.68
17950515,1,31.00,
6218399,2,120.00,1.86
17555944,1,50.00,
5693866,2,129.00,1.84
14213541,1,45.00,1.34
5630090,4,160.00,0.28
12281960,0,50.00,
11135042,1,39.00,2.97
13264348,1,45.00,1.47
13165992,1,37.00,
6503144,3,128.00,2.92
10936243,3,80.00,0.41
89954,2,116.00,1.93
17194879,1,45.00,5.63
12967689,3,95.00,0.64
9821830,2,69.00,5.05
10375065,1,65.00,0.33
17325466,1,46.00,
17227138,0,46.00,
9461781,1,60.00,4.25
5758979,2,100.00,3.35
13491442,1,40.00,1.07
14245105,1,200.00,
14867302,1,29.00,
16008244,2,80.00,2.40
14245384,2,200.00,0.32
17949564,1,41.00,
9588507,1,33.00,0.06
12016295,1,86.00,
17324637,1,60.00,1.46
18048189,2,83.00,
12442643,1,40.00,2.03
16014357,0,60.00,2.58
13622245,1,40.00,3.79
8281009,2,120.00,0.71
16309168,1,27.00,2.20
7952687,1,110.00,0.50
17846933,2,75.00,1
119389,2,100.00,0.75
17620102,2,120.00,
17620093,2,100.00,
17553971,1,90.00,1
4149807,2,110.00,
2085407,2,150.00,0.77
10408439,1,64.00,0.41
2903419,1,32.00,1.23
11423944,1,59.00,3.79
10442879,1,80.00,1.61
4216775,1,38.00,0.13
17913766,1,79.00,
4642674,2,55.00,0.35
1463763,3,207.00,0.35
6542779,1,80.00,2.17
11916650,2,98.00,1.92
316711,1,23.00,1.27
14735504,1,99.00,7.74
14880215,1,67.00,1.58
4831482,1,90.00,2.44
13029244,1,59.00,0.39
10506037,0,59.00,3.53
17618722,1,40.00,3
4150336,2,130.00,
4674555,4,160.00,0.47
16863610,1,30.00,
10292503,1,21.00,2.75
3984960,3,400.00,0.65
282113,1,30.00,2.24
12867405,3,100.00,1.43
17026384,1,89.00,3.43
8178955,1,30.00,6.63
12067347,2,95.00,0.25
2247751,1,99.00,1.57
9915357,4,250.00,2.69
772967,1,48.00,2.45
13028219,1,39.00,0.19
3121641,1,18.00,0.49
5819160,1,48.00,1.31
4230273,2,115.00,0.53
15158024,1,75.00,2.39
10668737,2,100.00,2.24
281224,1,48.00,2.51
16763469,1,15.00,
17812004,1,25.00,1
17844524,1,90.00,
936157,2,220.00,0.48
6342874,1,25.00,
8140487,1,50.00,0.05
3590226,1,65.00,3.41
5458016,1,32.00,0.90
15910961,1,90.00,6.21
17614912,1,31.00,
14305002,0,60.00,
16238228,1,27.00,0.42
1197704,1,80.00,0.06
17549836,3,160.00,
14862808,1,75.00,2.73
8242787,2,89.00,2.81
3819043,1,54.00,2.15
13951241,1,85.00,
10995124,1,55.00,5.08
5817222,3,220.00,4.07
3389625,1,75.00,2.59
2573192,1,120.00,0.06
6832931,2,55.00,
11946007,1,35.00,0.71
17647524,2,110.00,
12755268,1,23.00,2.31
6211454,2,130.00,1.58
7358300,0,65.00,0.05
14402318,1,80.00,2.19
901897,2,111.00,1.19
12993243,1,30.00,
18104982,1,90.00,
901754,1,20.00,0.06
4047408,1,62.00,3.88
8634850,1,86.00,0.90
13486840,1,24.00,0.51
2179527,1,59.00,0.39
13648289,1,85.00,1.52
12436556,1,80.00,0.60
639899,,45.00,3.36
6996978,1,20.00,0.18
9191638,1,22.00,0.88
11779940,1,79.00,1.03
15156610,1,105.00,0.17
16762192,2,105.00,3.96
14468389,1,50.00,4.68
15156497,0,90.00,0.33
16105254,1,105.00,
6307542,1,75.00,0.86
17481022,1,30.00,
867629,1,49.00,0.26
15156671,0,105.00,0.16
7814297,1,45.00,4.77
5913727,1,82.00,1.59
769131,1,25.00,0.24
18103406,1,220.00,
7453640,1,65.00,1.52
16202668,1,30.00,1
1654317,1,40.00,0.29
6119334,6,400.00,2.50
14736236,2,99.00,7.12
1621371,1,75.00,0.92
13744974,1,25.00,
11057913,1,70.00,1.13
3225931,1,85.00,0.22
17545517,1,92.00,
4456903,2,55.00,2.31
9910427,2,70.00,0.32
5191816,1,40.00,
12793954,1,45.00,6.33
8549390,1,45.00,0.76
11057201,1,68.00,2.90
13645593,2,116.00,5.22
3356367,1,18.00,0.52
7812823,2,113.00,1.96
13518478,1,70.00,1.75
7256675,2,100.00,2.01
12809312,1,52.00,0.36
14245640,2,200.00,
9914784,2,160.00,2.57
6895291,2,113.00,0.37
13076752,1,23.00,2.47
9287192,1,36.00,9.03
7321181,2,135.00,0.27
2733600,1,60.00,0.14
14346639,1,42.00,
5027269,1,90.00,0.40
13907969,3,150.00,0.33
18036708,1,65.00,
7944151,2,125.00,
7452597,3,260.00,1.24
4470603,1,30.00,0.68
18036000,1,25.00,
14922964,2,135.00,1.82
7254901,1,50.00,0.32
2045092,0,65.00,1.99
1804431,1,70.00,1.74
3486570,1,18.00,0.12
17587681,0,50.00,5
15217373,1,59.00,2.64
4600543,1,48.00,0.38
14878825,0,51.00,6.80
10138001,2,60.00,0.65
15261075,1,50.00,1.52
15250538,1,25.00,4.01
13710424,2,54.00,0.96
16866829,0,80.00,
6435818,1,75.00,5.67
379028,0,60.00,1.01
405786,2,113.00,0.19
14725360,2,75.00,3.46
15674596,1,30.00,3.31
5876946,1,64.00,0.65
8215981,1,105.00,0.28
1913353,2,60.00,0.35
3419248,1,100.00,
6696008,1,59.00,0.63
17116211,1,35.00,
13871966,0,45.00,1.69
12393424,1,37.00,
15124267,4,71.00,6.54
14163067,4,155.00,3.00
1938258,1,80.00,4.26
5976186,2,139.00,0.39
4196358,1,80.00,1.50
2895896,2,100.00,0.39
17778689,3,198.00,
6331712,1,80.00,4.30
17509755,1,75.00,1.62
9362284,1,25.00,11.29
13217222,1,40.00,
16788860,1,33.00,2.17
4074845,1,30.00,0.71
9642700,1,42.00,2.99
10904024,1,21.00,5.93
16657013,1,50.00,
13740592,1,55.00,3.94
9477197,1,71.00,2.33
16199386,1,50.00,4.78
3082182,2,62.00,4.47
12196652,1,80.00,0.38
16920158,1,110.00,
16937465,2,120.00,3
14234095,2,95.00,5.43
14101404,0,100.00,
7613336,1,35.00,0.64
15575376,1,350.00,
862462,1,60.00,2.60
13183219,1,68.00,2.12
1910871,3,230.00,0.67
7488161,1,100.00,1.58
18089648,1,60.00,
17093985,1,69.00,
18032664,3,120.00,
16656383,1,16.00,0.88
13196605,1,45.00,6.40
13741896,1,75.00,0.26
8628169,2,90.00,2.32
1288104,1,20.00,0.21
16656191,1,19.00,
13018893,1,27.00,6.47
7376359,3,201.00,0.76
730502,2,140.00,0.18
959846,2,93.00,0.61
6890860,2,180.00,
8529208,1,28.00,
15476903,0,49.00,6.11
4958317,1,60.00,3.24
16951413,1,55.00,1
2630840,1,68.00,3.50
6137058,2,60.00,1.00
17707207,1,75.00,3
1942493,1,30.00,
15508358,2,80.00,4.34
16688780,1,40.00,
8386752,1,79.00,0.93
16688707,1,50.00,4.29
