id,bedrooms,price,calculated_host_listings_count,review_scores_value
19031108,1,38.00,1,10
19767372,1,137.00,1,10
20096412,1,80.00,1,10
11437634,1,90.00,1,10
20761296,1,45.00,1,10
8167145,1,135.00,1,10
8953404,1,50.00,5,10
10297582,1,66.00,1,
8954037,1,50.00,5,9
19964062,1,200.00,1,
8953200,1,60.00,5,9
19438654,0,110.00,1,
13540829,2,79.00,1,
21142247,1,120.00,1,
14982260,1,180.00,1,10
15374777,1,69.00,1,10
18389211,1,75.00,1,
19814560,1,48.00,1,10
10229444,1,120.00,1,10
4658860,1,200.00,1,
562524,1,80.00,2,10
16930662,1,44.00,1,10
12751856,1,62.00,1,10
17877786,2,75.00,4,9
7901928,1,60.00,1,10
18649806,1,90.00,3,10
4705670,1,70.00,2,10
2134294,1,57.00,3,10
8441969,1,79.00,5,10
9343025,1,95.00,1,9
18649105,1,100.00,3,10
17731335,1,65.00,1,10
7638571,1,30.00,2,8
13028906,1,75.00,3,9
18926858,1,125.00,1,
18910492,1,55.00,1,
16927714,2,220.00,1,10
13781978,1,150.00,1,
20745174,2,150.00,2,
16354170,2,85.00,1,9
6704000,1,45.00,1,10
9735503,1,100.00,1,10
3164997,1,180.00,1,9
7127458,1,70.00,1,10
8964446,1,60.00,1,10
15632470,1,55.00,1,9
13928461,2,200.00,1,10
17073948,1,120.00,1,10
15649021,1,49.00,1,10
3310706,1,49.00,5,9
12367449,1,66.00,1,10
4375146,1,75.00,1,10
13927747,1,95.00,1,9
12342876,2,120.00,1,8
4637053,1,150.00,1,10
5238159,1,70.00,1,
11010008,1,70.00,1,9
19856880,1,45.00,3,9
14548344,3,350.00,1,9
19737184,3,275.00,3,10
10156960,1,60.00,1,10
9959328,1,189.00,1,
2291575,1,300.00,1,
6812924,1,135.00,1,10
13575747,1,100.00,1,10
16577736,1,80.00,2,10
7664789,1,45.00,2,10
18805749,1,79.00,1,10
15968426,1,56.00,1,
19067757,1,50.00,3,9
2028291,0,172.00,2,9
19983936,3,350.00,3,10
